,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type
0,1,Lets Link,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
1,2,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
2,3,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
3,4,Upside Down,JVKE,https://open.spotify.com/track/614OkajfRPH8V0ugNQnduP,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
4,5,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
5,6,You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
6,7,This Side of Paradise,Coyote Theory,https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
7,8,Whole Lotta Choppas,Sada Baby,https://open.spotify.com/track/6hLZzCS4E7AWo3PRBWy6az,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
8,9,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
9,10,Throat Baby (Go Baby),BRS Kash,https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
10,11,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
11,12,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
12,13,Dynamite,BTS,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
13,14,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
14,15,THICK,DJ Chose,https://open.spotify.com/track/0YYNIGKgAk34vZkV2NySie,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
15,16,Onna Come Up,Lil Eazzyy,https://open.spotify.com/track/0s8QrhtXW1Av2tuLLerDjN,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
16,17,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
17,18,BOYFRIEND,HARDY,https://open.spotify.com/track/5M8ExcJIACOWCEgPfNZNn8,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
18,19,Losing You,WONHO,https://open.spotify.com/track/2Bk8jjFB0FfAFYUIxihOnG,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
19,20,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
20,21,Michelle,Sir Chloe,https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
21,22,24 (feat. Lil Baby),Money Man,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
22,23,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
23,24,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
24,25,GIVE HEAVEN SOME HELL,HARDY,https://open.spotify.com/track/2bVeUlOC5JjTpkQXuUUoYm,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
25,26,Overwhelmed,Royal & the Serpent,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
26,27,People So Stupid,Tom MacDonald,https://open.spotify.com/track/3rjJAqZWPjDhsTkCmc2HcY,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
27,28,Things A Man Oughta Know,Lainey Wilson,https://open.spotify.com/track/7cwKO3SvjCpTyLiIWfnxpx,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
28,29,3 Musketeers,NextYoungin,https://open.spotify.com/track/57Oi4yqY27uJzCyqFWIP5q,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
29,30,Backyard Boy,Claire Rosinkranz,https://open.spotify.com/track/0QpOqKz66ZxHNqj2PPHiFF,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
30,31,Wrap Me In Plastic - Marcus Layton Radio Edit,CHROMANCE,https://open.spotify.com/track/3n2P3ipLt5mPFVaM0fJHNR,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
31,32,Sálvame,RBD,https://open.spotify.com/track/3hbTkJ0yFzHbawnKyhvTQj,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
32,33,F2020,Avenue Beat,https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
33,34,My Person,Spencer Crandall,https://open.spotify.com/track/1K61P0kbiT6cJzh77NnxFg,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
34,35,you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
35,36,ALL GIRLS ARE THE SAME,RØNIN,https://open.spotify.com/track/4xhWfr0tyA7BGL7eXo8KnV,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
36,37,Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
37,38,my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
38,39,7 Summers,Morgan Wallen,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
39,40,Mr Loverman,Ricky Montgomery,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
40,41,Just About Over You,Priscilla Block,https://open.spotify.com/track/6VzJCMOzVbvb25LPYQviM5,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
41,42,Laugh Now Cry Later (feat. Lil Durk),Drake,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
42,43,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
43,44,Promises,Maverick City Music,https://open.spotify.com/track/0aZFEiDKLK2B4gzPaGCZVm,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
44,45,Lemon (feat. Method Man),Conway the Machine,https://open.spotify.com/track/5MurVzJcSmQ6f7BI6qnv6o,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
45,46,Hai Domo,Cao White,https://open.spotify.com/track/5vOwis62qEz4avzkppHHL5,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
46,47,Kilby Girl,The Backseat Lovers,https://open.spotify.com/track/1170VohRSx6GwE6QDCHPPH,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
47,48,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
48,49,DDLG,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
49,50,Midnight Sky,Miley Cyrus,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,viral-us-weekly-2020-09-17--2020-09-17.csv,September,4,Viral
0,1,No Wind Resistance!,Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
1,2,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
2,3,M to the B,Millie B,https://open.spotify.com/track/1meosvrJFk4xXo1HwUIasC,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
3,4,F-150,Robyn Ottolini,https://open.spotify.com/track/0JSxnF1JmC8LblMhrovm6K,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
4,5,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,viral-us-weekly-2020-09-24--2020-09-24.csv,September,4,Viral
