,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
91,42,Why We Ever,Hayley Williams,https://open.spotify.com/track/2NYPCh5sEiXsNhvNIjYIhA,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6Rx1JKzBrSzoKQtmbVmBnM,unspecified,,
92,43,One Of Them Girls,Lee Brice,https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,5Zq7R5qmi58ByYyBQTlNuk,contemporary country,country,country road
93,44,Come Back To Bed,Sean Stemaly,https://open.spotify.com/track/0kSUH6KBoUrHWL93j1Lx3h,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,2dZ1l4hWgtbMS0N5T9Oalb,contemporary country,country pop,
94,45,Outta There,Moe,https://open.spotify.com/track/6QlKONDgjp9JqcthAtDlKk,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,4s03DfC6cLxCYirblvaKlO,unspecified,,
95,46,XS,Rina Sawayama,https://open.spotify.com/track/3OK3uq0udXEDfEo7bvpNHW,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,2KEqzdPS7M5YwGmiuPTdr5,art pop,dance pop,electropop
96,47,Nightrider,Tom Misch,https://open.spotify.com/track/5TgZ7lOUugOdabBcD9a6ud,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,1uiEZYehlNivdK3iQyAbye,indie soul,jazz pop,
97,48,Rip It Up,Little Richard,https://open.spotify.com/track/5tHFPtV7dT01fxDe2AhKjD,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,4xls23Ye9WR9yy3yYMpAMm,adult standards,brill building pop,rock-and-roll
98,49,Tuff,Jaah SLT,https://open.spotify.com/track/206FddKOYYxN6k2gCKUsFg,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6oUVQSkgFOPuv5g2hRCONc,unspecified,,
99,50,Level of Concern,Twenty One Pilots,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,3YQKmKGau1PzlVlkL1iodx,modern rock,rock,
100,1,Times We Had,Barlito,https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz,viral-us-weekly-2020-05-21--2020-05-21.csv,May,2020-05-21,21,Viral 50,2amDdZfkKjK50RDrUlDcTc,unspecified,,
101,2,Sunrise,Kenny Elrod,https://open.spotify.com/track/1W5StOzPxW32oXTlHspq2Q,viral-us-weekly-2020-05-21--2020-05-21.csv,May,2020-05-21,21,Viral 50,0aWwEZiU7YOSgIcyxIXnmd,unspecified,,
102,3,Sexy,JoeVille,https://open.spotify.com/track/2n0vHNx05rdQaTrs2R6Ty7,viral-us-weekly-2020-05-21--2020-05-21.csv,May,2020-05-21,21,Viral 50,6Rf6w9LrInrRvLTh0sEzVW,unspecified,,
103,4,Party Girl,StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,viral-us-weekly-2020-05-21--2020-05-21.csv,May,2020-05-21,21,Viral 50,1XLWox9w1Yvbodui0SRhUQ,melodic rap,,
104,5,Laxed – Siren Beat,Jawsh 685,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ,viral-us-weekly-2020-05-21--2020-05-21.csv,May,2020-05-21,21,Viral 50,56mfhUDKa1vec6rSLZV5Eg,nz pop,,
